candidates,detail,iterations,phase,timestamp
2267,"Generating edge candidates through MATLAB-style frontier workflow (iterations=14848, candidates=2267)",14848,heartbeat,2026-07-03T19:07:01Z
2324,"Generating edge candidates through MATLAB-style frontier workflow (iterations=15360, candidates=2324)",15360,heartbeat,2026-07-03T19:07:01Z
2388,"Generating edge candidates through MATLAB-style frontier workflow (iterations=15872, candidates=2388)",15872,heartbeat,2026-07-03T19:07:01Z
2445,"Generating edge candidates through MATLAB-style frontier workflow (iterations=16384, candidates=2445)",16384,heartbeat,2026-07-03T19:07:02Z
2516,"Generating edge candidates through MATLAB-style frontier workflow (iterations=16896, candidates=2516)",16896,heartbeat,2026-07-03T19:07:02Z
2572,"Generating edge candidates through MATLAB-style frontier workflow (iterations=17408, candidates=2572)",17408,heartbeat,2026-07-03T19:07:02Z
2638,"Generating edge candidates through MATLAB-style frontier workflow (iterations=17920, candidates=2638)",17920,heartbeat,2026-07-03T19:07:02Z
2708,"Generating edge candidates through MATLAB-style frontier workflow (iterations=18432, candidates=2708)",18432,heartbeat,2026-07-03T19:07:03Z
2786,"Generating edge candidates through MATLAB-style frontier workflow (iterations=18944, candidates=2786)",18944,heartbeat,2026-07-03T19:07:03Z
2851,"Generating edge candidates through MATLAB-style frontier workflow (iterations=19456, candidates=2851)",19456,heartbeat,2026-07-03T19:07:03Z
2929,"Generating edge candidates through MATLAB-style frontier workflow (iterations=19968, candidates=2929)",19968,heartbeat,2026-07-03T19:07:04Z
2991,"Generating edge candidates through MATLAB-style frontier workflow (iterations=20480, candidates=2991)",20480,heartbeat,2026-07-03T19:07:04Z
3059,"Generating edge candidates through MATLAB-style frontier workflow (iterations=20992, candidates=3059)",20992,heartbeat,2026-07-03T19:07:04Z
3125,"Generating edge candidates through MATLAB-style frontier workflow (iterations=21504, candidates=3125)",21504,heartbeat,2026-07-03T19:07:04Z
3201,"Generating edge candidates through MATLAB-style frontier workflow (iterations=22016, candidates=3201)",22016,heartbeat,2026-07-03T19:07:05Z
3270,"Generating edge candidates through MATLAB-style frontier workflow (iterations=22528, candidates=3270)",22528,heartbeat,2026-07-03T19:07:05Z
3352,"Generating edge candidates through MATLAB-style frontier workflow (iterations=23040, candidates=3352)",23040,heartbeat,2026-07-03T19:07:05Z
3420,"Generating edge candidates through MATLAB-style frontier workflow (iterations=23552, candidates=3420)",23552,heartbeat,2026-07-03T19:07:05Z
3497,"Generating edge candidates through MATLAB-style frontier workflow (iterations=24064, candidates=3497)",24064,heartbeat,2026-07-03T19:07:06Z
3558,"Generating edge candidates through MATLAB-style frontier workflow (iterations=24576, candidates=3558)",24576,heartbeat,2026-07-03T19:07:06Z
3625,"Generating edge candidates through MATLAB-style frontier workflow (iterations=25088, candidates=3625)",25088,heartbeat,2026-07-03T19:07:06Z
3699,"Generating edge candidates through MATLAB-style frontier workflow (iterations=25600, candidates=3699)",25600,heartbeat,2026-07-03T19:07:06Z
3774,"Generating edge candidates through MATLAB-style frontier workflow (iterations=26112, candidates=3774)",26112,heartbeat,2026-07-03T19:07:07Z
3850,"Generating edge candidates through MATLAB-style frontier workflow (iterations=26624, candidates=3850)",26624,heartbeat,2026-07-03T19:07:07Z
3926,"Generating edge candidates through MATLAB-style frontier workflow (iterations=27136, candidates=3926)",27136,heartbeat,2026-07-03T19:07:07Z
4006,"Generating edge candidates through MATLAB-style frontier workflow (iterations=27648, candidates=4006)",27648,heartbeat,2026-07-03T19:07:08Z
4087,"Generating edge candidates through MATLAB-style frontier workflow (iterations=28160, candidates=4087)",28160,heartbeat,2026-07-03T19:07:08Z
4149,"Generating edge candidates through MATLAB-style frontier workflow (iterations=28672, candidates=4149)",28672,heartbeat,2026-07-03T19:07:08Z
4203,"Generating edge candidates through MATLAB-style frontier workflow (iterations=29184, candidates=4203)",29184,heartbeat,2026-07-03T19:07:09Z
4285,"Generating edge candidates through MATLAB-style frontier workflow (iterations=29696, candidates=4285)",29696,heartbeat,2026-07-03T19:07:09Z
4354,"Generating edge candidates through MATLAB-style frontier workflow (iterations=30208, candidates=4354)",30208,heartbeat,2026-07-03T19:07:09Z
4421,"Generating edge candidates through MATLAB-style frontier workflow (iterations=30720, candidates=4421)",30720,heartbeat,2026-07-03T19:07:09Z
4491,"Generating edge candidates through MATLAB-style frontier workflow (iterations=31232, candidates=4491)",31232,heartbeat,2026-07-03T19:07:10Z
4584,"Generating edge candidates through MATLAB-style frontier workflow (iterations=31744, candidates=4584)",31744,heartbeat,2026-07-03T19:07:10Z
4659,"Generating edge candidates through MATLAB-style frontier workflow (iterations=32256, candidates=4659)",32256,heartbeat,2026-07-03T19:07:10Z
4757,"Generating edge candidates through MATLAB-style frontier workflow (iterations=32768, candidates=4757)",32768,heartbeat,2026-07-03T19:07:11Z
4835,"Generating edge candidates through MATLAB-style frontier workflow (iterations=33280, candidates=4835)",33280,heartbeat,2026-07-03T19:07:11Z
4931,"Generating edge candidates through MATLAB-style frontier workflow (iterations=33792, candidates=4931)",33792,heartbeat,2026-07-03T19:07:11Z
5017,"Generating edge candidates through MATLAB-style frontier workflow (iterations=34304, candidates=5017)",34304,heartbeat,2026-07-03T19:07:11Z
5090,"Generating edge candidates through MATLAB-style frontier workflow (iterations=34816, candidates=5090)",34816,heartbeat,2026-07-03T19:07:12Z
5186,"Generating edge candidates through MATLAB-style frontier workflow (iterations=35328, candidates=5186)",35328,heartbeat,2026-07-03T19:07:12Z
5268,"Generating edge candidates through MATLAB-style frontier workflow (iterations=35840, candidates=5268)",35840,heartbeat,2026-07-03T19:07:12Z
5344,"Generating edge candidates through MATLAB-style frontier workflow (iterations=36352, candidates=5344)",36352,heartbeat,2026-07-03T19:07:12Z
5430,"Generating edge candidates through MATLAB-style frontier workflow (iterations=36864, candidates=5430)",36864,heartbeat,2026-07-03T19:07:13Z
5526,"Generating edge candidates through MATLAB-style frontier workflow (iterations=37376, candidates=5526)",37376,heartbeat,2026-07-03T19:07:13Z
5612,"Generating edge candidates through MATLAB-style frontier workflow (iterations=37888, candidates=5612)",37888,heartbeat,2026-07-03T19:07:13Z
5699,"Generating edge candidates through MATLAB-style frontier workflow (iterations=38400, candidates=5699)",38400,heartbeat,2026-07-03T19:07:14Z
5781,"Generating edge candidates through MATLAB-style frontier workflow (iterations=38912, candidates=5781)",38912,heartbeat,2026-07-03T19:07:14Z
5878,"Generating edge candidates through MATLAB-style frontier workflow (iterations=39424, candidates=5878)",39424,heartbeat,2026-07-03T19:07:14Z
5959,"Generating edge candidates through MATLAB-style frontier workflow (iterations=39936, candidates=5959)",39936,heartbeat,2026-07-03T19:07:14Z
6046,"Generating edge candidates through MATLAB-style frontier workflow (iterations=40448, candidates=6046)",40448,heartbeat,2026-07-03T19:07:14Z
6144,"Generating edge candidates through MATLAB-style frontier workflow (iterations=40960, candidates=6144)",40960,heartbeat,2026-07-03T19:07:15Z
6227,"Generating edge candidates through MATLAB-style frontier workflow (iterations=41472, candidates=6227)",41472,heartbeat,2026-07-03T19:07:15Z
6321,"Generating edge candidates through MATLAB-style frontier workflow (iterations=41984, candidates=6321)",41984,heartbeat,2026-07-03T19:07:15Z
6436,"Generating edge candidates through MATLAB-style frontier workflow (iterations=42496, candidates=6436)",42496,heartbeat,2026-07-03T19:07:15Z
6531,"Generating edge candidates through MATLAB-style frontier workflow (iterations=43008, candidates=6531)",43008,heartbeat,2026-07-03T19:07:16Z
6638,"Generating edge candidates through MATLAB-style frontier workflow (iterations=43520, candidates=6638)",43520,heartbeat,2026-07-03T19:07:16Z
6753,"Generating edge candidates through MATLAB-style frontier workflow (iterations=44032, candidates=6753)",44032,heartbeat,2026-07-03T19:07:16Z
6874,"Generating edge candidates through MATLAB-style frontier workflow (iterations=44544, candidates=6874)",44544,heartbeat,2026-07-03T19:07:16Z
6988,"Generating edge candidates through MATLAB-style frontier workflow (iterations=45056, candidates=6988)",45056,heartbeat,2026-07-03T19:07:16Z
7098,"Generating edge candidates through MATLAB-style frontier workflow (iterations=45568, candidates=7098)",45568,heartbeat,2026-07-03T19:07:17Z
7209,"Generating edge candidates through MATLAB-style frontier workflow (iterations=46080, candidates=7209)",46080,heartbeat,2026-07-03T19:07:17Z
7317,"Generating edge candidates through MATLAB-style frontier workflow (iterations=46592, candidates=7317)",46592,heartbeat,2026-07-03T19:07:17Z
7443,"Generating edge candidates through MATLAB-style frontier workflow (iterations=47104, candidates=7443)",47104,heartbeat,2026-07-03T19:07:18Z
7556,"Generating edge candidates through MATLAB-style frontier workflow (iterations=47616, candidates=7556)",47616,heartbeat,2026-07-03T19:07:18Z
7647,"Generating edge candidates through MATLAB-style frontier workflow (iterations=48128, candidates=7647)",48128,heartbeat,2026-07-03T19:07:18Z
7753,"Generating edge candidates through MATLAB-style frontier workflow (iterations=48640, candidates=7753)",48640,heartbeat,2026-07-03T19:07:18Z
7860,"Generating edge candidates through MATLAB-style frontier workflow (iterations=49152, candidates=7860)",49152,heartbeat,2026-07-03T19:07:18Z
7971,"Generating edge candidates through MATLAB-style frontier workflow (iterations=49664, candidates=7971)",49664,heartbeat,2026-07-03T19:07:19Z
8096,"Generating edge candidates through MATLAB-style frontier workflow (iterations=50176, candidates=8096)",50176,heartbeat,2026-07-03T19:07:19Z
8202,"Generating edge candidates through MATLAB-style frontier workflow (iterations=50688, candidates=8202)",50688,heartbeat,2026-07-03T19:07:19Z
8310,"Generating edge candidates through MATLAB-style frontier workflow (iterations=51200, candidates=8310)",51200,heartbeat,2026-07-03T19:07:19Z
8441,"Generating edge candidates through MATLAB-style frontier workflow (iterations=51712, candidates=8441)",51712,heartbeat,2026-07-03T19:07:20Z
8564,"Generating edge candidates through MATLAB-style frontier workflow (iterations=52224, candidates=8564)",52224,heartbeat,2026-07-03T19:07:20Z
8683,"Generating edge candidates through MATLAB-style frontier workflow (iterations=52736, candidates=8683)",52736,heartbeat,2026-07-03T19:07:20Z
8825,"Generating edge candidates through MATLAB-style frontier workflow (iterations=53248, candidates=8825)",53248,heartbeat,2026-07-03T19:07:20Z
8947,"Generating edge candidates through MATLAB-style frontier workflow (iterations=53760, candidates=8947)",53760,heartbeat,2026-07-03T19:07:20Z
9094,"Generating edge candidates through MATLAB-style frontier workflow (iterations=54272, candidates=9094)",54272,heartbeat,2026-07-03T19:07:21Z
9223,"Generating edge candidates through MATLAB-style frontier workflow (iterations=54784, candidates=9223)",54784,heartbeat,2026-07-03T19:07:21Z
9346,"Generating edge candidates through MATLAB-style frontier workflow (iterations=55296, candidates=9346)",55296,heartbeat,2026-07-03T19:07:21Z
9483,"Generating edge candidates through MATLAB-style frontier workflow (iterations=55808, candidates=9483)",55808,heartbeat,2026-07-03T19:07:21Z
9613,"Generating edge candidates through MATLAB-style frontier workflow (iterations=56320, candidates=9613)",56320,heartbeat,2026-07-03T19:07:22Z
9744,"Generating edge candidates through MATLAB-style frontier workflow (iterations=56832, candidates=9744)",56832,heartbeat,2026-07-03T19:07:22Z
9876,"Generating edge candidates through MATLAB-style frontier workflow (iterations=57344, candidates=9876)",57344,heartbeat,2026-07-03T19:07:22Z
9999,"Generating edge candidates through MATLAB-style frontier workflow (iterations=57856, candidates=9999)",57856,heartbeat,2026-07-03T19:07:22Z
10129,"Generating edge candidates through MATLAB-style frontier workflow (iterations=58368, candidates=10129)",58368,heartbeat,2026-07-03T19:07:23Z
10284,"Generating edge candidates through MATLAB-style frontier workflow (iterations=58880, candidates=10284)",58880,heartbeat,2026-07-03T19:07:23Z
10421,"Generating edge candidates through MATLAB-style frontier workflow (iterations=59392, candidates=10421)",59392,heartbeat,2026-07-03T19:07:23Z
10561,"Generating edge candidates through MATLAB-style frontier workflow (iterations=59904, candidates=10561)",59904,heartbeat,2026-07-03T19:07:23Z
10702,"Generating edge candidates through MATLAB-style frontier workflow (iterations=60416, candidates=10702)",60416,heartbeat,2026-07-03T19:07:23Z
10853,"Generating edge candidates through MATLAB-style frontier workflow (iterations=60928, candidates=10853)",60928,heartbeat,2026-07-03T19:07:24Z
11029,"Generating edge candidates through MATLAB-style frontier workflow (iterations=61440, candidates=11029)",61440,heartbeat,2026-07-03T19:07:24Z
11158,"Generating edge candidates through MATLAB-style frontier workflow (iterations=61952, candidates=11158)",61952,heartbeat,2026-07-03T19:07:24Z
11315,"Generating edge candidates through MATLAB-style frontier workflow (iterations=62464, candidates=11315)",62464,heartbeat,2026-07-03T19:07:24Z
11476,"Generating edge candidates through MATLAB-style frontier workflow (iterations=62976, candidates=11476)",62976,heartbeat,2026-07-03T19:07:24Z
11626,"Generating edge candidates through MATLAB-style frontier workflow (iterations=63488, candidates=11626)",63488,heartbeat,2026-07-03T19:07:25Z
11767,"Generating edge candidates through MATLAB-style frontier workflow (iterations=64000, candidates=11767)",64000,heartbeat,2026-07-03T19:07:25Z
11930,"Generating edge candidates through MATLAB-style frontier workflow (iterations=64512, candidates=11930)",64512,heartbeat,2026-07-03T19:07:25Z
12079,"Generating edge candidates through MATLAB-style frontier workflow (iterations=65024, candidates=12079)",65024,heartbeat,2026-07-03T19:07:25Z
12230,"Generating edge candidates through MATLAB-style frontier workflow (iterations=65536, candidates=12230)",65536,heartbeat,2026-07-03T19:07:26Z
12394,"Generating edge candidates through MATLAB-style frontier workflow (iterations=66048, candidates=12394)",66048,heartbeat,2026-07-03T19:07:26Z
12530,"Generating edge candidates through MATLAB-style frontier workflow (iterations=66560, candidates=12530)",66560,heartbeat,2026-07-03T19:07:26Z
12690,"Generating edge candidates through MATLAB-style frontier workflow (iterations=67072, candidates=12690)",67072,heartbeat,2026-07-03T19:07:26Z
12859,"Generating edge candidates through MATLAB-style frontier workflow (iterations=67584, candidates=12859)",67584,heartbeat,2026-07-03T19:07:27Z
13015,"Generating edge candidates through MATLAB-style frontier workflow (iterations=68096, candidates=13015)",68096,heartbeat,2026-07-03T19:07:27Z
13166,"Generating edge candidates through MATLAB-style frontier workflow (iterations=68608, candidates=13166)",68608,heartbeat,2026-07-03T19:07:27Z
13333,"Generating edge candidates through MATLAB-style frontier workflow (iterations=69120, candidates=13333)",69120,heartbeat,2026-07-03T19:07:27Z
13492,"Generating edge candidates through MATLAB-style frontier workflow (iterations=69632, candidates=13492)",69632,heartbeat,2026-07-03T19:07:28Z
13646,"Generating edge candidates through MATLAB-style frontier workflow (iterations=70144, candidates=13646)",70144,heartbeat,2026-07-03T19:07:28Z
13808,"Generating edge candidates through MATLAB-style frontier workflow (iterations=70656, candidates=13808)",70656,heartbeat,2026-07-03T19:07:28Z
13993,"Generating edge candidates through MATLAB-style frontier workflow (iterations=71168, candidates=13993)",71168,heartbeat,2026-07-03T19:07:28Z
14169,"Generating edge candidates through MATLAB-style frontier workflow (iterations=71680, candidates=14169)",71680,heartbeat,2026-07-03T19:07:28Z
14337,"Generating edge candidates through MATLAB-style frontier workflow (iterations=72192, candidates=14337)",72192,heartbeat,2026-07-03T19:07:29Z
14494,"Generating edge candidates through MATLAB-style frontier workflow (iterations=72704, candidates=14494)",72704,heartbeat,2026-07-03T19:07:29Z
14672,"Generating edge candidates through MATLAB-style frontier workflow (iterations=73216, candidates=14672)",73216,heartbeat,2026-07-03T19:07:29Z
14847,"Generating edge candidates through MATLAB-style frontier workflow (iterations=73728, candidates=14847)",73728,heartbeat,2026-07-03T19:07:29Z
15011,"Generating edge candidates through MATLAB-style frontier workflow (iterations=74240, candidates=15011)",74240,heartbeat,2026-07-03T19:07:30Z
15195,"Generating edge candidates through MATLAB-style frontier workflow (iterations=74752, candidates=15195)",74752,heartbeat,2026-07-03T19:07:30Z
15380,"Generating edge candidates through MATLAB-style frontier workflow (iterations=75264, candidates=15380)",75264,heartbeat,2026-07-03T19:07:30Z
15558,"Generating edge candidates through MATLAB-style frontier workflow (iterations=75776, candidates=15558)",75776,heartbeat,2026-07-03T19:07:31Z
15727,"Generating edge candidates through MATLAB-style frontier workflow (iterations=76288, candidates=15727)",76288,heartbeat,2026-07-03T19:07:31Z
15924,"Generating edge candidates through MATLAB-style frontier workflow (iterations=76800, candidates=15924)",76800,heartbeat,2026-07-03T19:07:31Z
16089,"Generating edge candidates through MATLAB-style frontier workflow (iterations=77312, candidates=16089)",77312,heartbeat,2026-07-03T19:07:31Z
16267,"Generating edge candidates through MATLAB-style frontier workflow (iterations=77824, candidates=16267)",77824,heartbeat,2026-07-03T19:07:32Z
16475,"Generating edge candidates through MATLAB-style frontier workflow (iterations=78336, candidates=16475)",78336,heartbeat,2026-07-03T19:07:32Z
16656,"Generating edge candidates through MATLAB-style frontier workflow (iterations=78848, candidates=16656)",78848,heartbeat,2026-07-03T19:07:33Z
16851,"Generating edge candidates through MATLAB-style frontier workflow (iterations=79360, candidates=16851)",79360,heartbeat,2026-07-03T19:07:33Z
17033,"Generating edge candidates through MATLAB-style frontier workflow (iterations=79872, candidates=17033)",79872,heartbeat,2026-07-03T19:07:33Z
17242,"Generating edge candidates through MATLAB-style frontier workflow (iterations=80384, candidates=17242)",80384,heartbeat,2026-07-03T19:07:34Z
17444,"Generating edge candidates through MATLAB-style frontier workflow (iterations=80896, candidates=17444)",80896,heartbeat,2026-07-03T19:07:34Z
17645,"Generating edge candidates through MATLAB-style frontier workflow (iterations=81408, candidates=17645)",81408,heartbeat,2026-07-03T19:07:34Z
17827,"Generating edge candidates through MATLAB-style frontier workflow (iterations=81920, candidates=17827)",81920,heartbeat,2026-07-03T19:07:34Z
18023,"Generating edge candidates through MATLAB-style frontier workflow (iterations=82432, candidates=18023)",82432,heartbeat,2026-07-03T19:07:35Z
18192,"Generating edge candidates through MATLAB-style frontier workflow (iterations=82944, candidates=18192)",82944,heartbeat,2026-07-03T19:07:35Z
18192,Completed edge candidate generation through MATLAB-style frontier workflow (candidates=18192),82944,completed,2026-07-03T19:08:11Z
